,Year,TRK,Track,Category,Session,Date,Track_Condition,Track_Temp,Air_Temp,Humidity,Position,Points,Rider_Number,Rider_Name,Nationality,Team_Name,Bike,Avg_Speed,Time
0,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,20,2011",Dry,20º,19º,31%,1,25,27,Casey STONER,AUS,Repsol Honda Team,Honda,166.5,42'38.569
1,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,20,2011",Dry,20º,19º,31%,2,20,1,Jorge LORENZO,SPA,Yamaha Factory Racing,Yamaha,166.3,+3.440
2,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,20,2011",Dry,20º,19º,31%,3,16,26,Dani PEDROSA,SPA,Repsol Honda Team,Honda,166.2,+5.051
3,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,20,2011",Dry,20º,19º,31%,4,13,4,Andrea DOVIZIOSO,ITA,Repsol Honda Team,Honda,166.2,+5.942
4,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,20,2011",Dry,20º,19º,31%,5,11,58,Marco SIMONCELLI,ITA,San Carlo Honda Gresini,Honda,166.1,+7.358
5,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,20,2011",Dry,20º,19º,31%,6,10,11,Ben SPIES,USA,Yamaha Factory Racing,Yamaha,165.9,+10.468
6,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,20,2011",Dry,20º,19º,31%,7,9,46,Valentino ROSSI,ITA,Ducati Team,Ducati,165.5,+16.431
7,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,20,2011",Dry,20º,19º,31%,8,8,5,Colin EDWARDS,USA,Monster Yamaha Tech 3,Yamaha,164.8,+26.293
8,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,20,2011",Dry,20º,19º,31%,9,7,69,Nicky HAYDEN,USA,Ducati Team,Ducati,164.8,+27.416
9,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,20,2011",Dry,20º,19º,31%,10,6,7,Hiroshi AOYAMA,JPN,San Carlo Honda Gresini,Honda,164.7,+28.920
10,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,20,2011",Dry,20º,19º,31%,11,5,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,Yamaha,164.3,+34.539
11,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,20,2011",Dry,20º,19º,31%,12,4,8,Hector BARBERA,SPA,Mapfre Aspar Team MotoGP,Ducati,164.3,+34.829
12,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,20,2011",Dry,20º,19º,31%,13,3,17,Karel ABRAHAM,CZE,Cardion AB Motoracing,Ducati,164.1,+37.957
13,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,20,2011",Dry,20º,19º,31%,crash,0,24,Toni ELIAS,SPA,LCR Honda MotoGP,Honda,162.8,4 Laps
14,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,20,2011",Dry,20º,19º,31%,crash,0,65,Loris CAPIROSSI,ITA,Pramac Racing Team,Ducati,142.4,21 Laps
15,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,20,2011",Dry,20º,19º,31%,crash,0,14,Randy DE PUNIET,FRA,Pramac Racing Team,Ducati,,0 Lap
16,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,20,2011",Dry,21º,20º,23%,1,25,65,Stefan BRADL,GER,Viessmann Kiefer Racing,Kalex,158.8,40'38.549
17,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,20,2011",Dry,21º,20º,23%,2,20,29,Andrea IANNONE,ITA,Speed Master,Suter,158.6,+4.330
18,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,20,2011",Dry,21º,20º,23%,3,16,12,Thomas LUTHI,SWI,Interwetten Paddock Moto2,Suter,158.5,+5.137
19,2011,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,20,2011",Dry,21º,20º,23%,4,13,15,Alex DE ANGELIS,RSM,JIR Moto2,Motobi,158.5,+5.925
