,Year,TRK,Track,Category,Session,Date,Track_Condition,Track_Temp,Air_Temp,Humidity,Position,Points,Rider_Number,Rider_Name,Nationality,Team_Name,Bike,Avg_Speed,Time
0,2005,SPA,SPANISH GRAND PRIX - Circuito de Jerez,MotoGP,RAC,"April,10,2005",Dry,32º,15º,17%,1,25.0,46,Valentino ROSSI,ITA,Gauloises Yamaha Team,Yamaha,156.7,45'43.156
1,2005,SPA,SPANISH GRAND PRIX - Circuito de Jerez,MotoGP,RAC,"April,10,2005",Dry,32º,15º,17%,2,20.0,15,Sete GIBERNAU,SPA,Movistar Honda MotoGP,Honda,156.2,+8.631
2,2005,SPA,SPANISH GRAND PRIX - Circuito de Jerez,MotoGP,RAC,"April,10,2005",Dry,32º,15º,17%,3,16.0,33,Marco MELANDRI,ITA,Movistar Honda MotoGP,Honda,155.7,+18.460
3,2005,SPA,SPANISH GRAND PRIX - Circuito de Jerez,MotoGP,RAC,"April,10,2005",Dry,32º,15º,17%,4,13.0,4,Alex BARROS,BRA,Camel Honda,Honda,155.2,+26.938
4,2005,SPA,SPANISH GRAND PRIX - Circuito de Jerez,MotoGP,RAC,"April,10,2005",Dry,32º,15º,17%,5,11.0,56,Shinya NAKANO,JPN,Kawasaki Racing Team,Kawasaki,155.2,+27.659
5,2005,SPA,SPANISH GRAND PRIX - Circuito de Jerez,MotoGP,RAC,"April,10,2005",Dry,32º,15º,17%,6,10.0,12,Troy BAYLISS,AUS,Camel Honda,Honda,155.1,+28.509
6,2005,SPA,SPANISH GRAND PRIX - Circuito de Jerez,MotoGP,RAC,"April,10,2005",Dry,32º,15º,17%,7,9.0,3,Max BIAGGI,ITA,Repsol Honda Team,Honda,155.0,+30.618
7,2005,SPA,SPANISH GRAND PRIX - Circuito de Jerez,MotoGP,RAC,"April,10,2005",Dry,32º,15º,17%,8,8.0,6,Makoto TAMADA,JPN,JIR Konica Minolta Honda,Honda,154.6,+36.887
8,2005,SPA,SPANISH GRAND PRIX - Circuito de Jerez,MotoGP,RAC,"April,10,2005",Dry,32º,15º,17%,9,7.0,5,Colin EDWARDS,USA,Gauloises Yamaha Team,Yamaha,154.6,+37.608
9,2005,SPA,SPANISH GRAND PRIX - Circuito de Jerez,MotoGP,RAC,"April,10,2005",Dry,32º,15º,17%,10,6.0,7,Carlos CHECA,SPA,Ducati Marlboro Team,Ducati,154.5,+39.678
10,2005,SPA,SPANISH GRAND PRIX - Circuito de Jerez,MotoGP,RAC,"April,10,2005",Dry,32º,15º,17%,11,5.0,66,Alex HOFMANN,GER,Kawasaki Racing Team,Kawasaki,154.3,+42.283
11,2005,SPA,SPANISH GRAND PRIX - Circuito de Jerez,MotoGP,RAC,"April,10,2005",Dry,32º,15º,17%,12,4.0,24,Toni ELIAS,SPA,Fortuna Yamaha Team,Yamaha,153.6,+55.457
12,2005,SPA,SPANISH GRAND PRIX - Circuito de Jerez,MotoGP,RAC,"April,10,2005",Dry,32º,15º,17%,13,3.0,65,Loris CAPIROSSI,ITA,Ducati Marlboro Team,Ducati,153.2,+1'02.372
13,2005,SPA,SPANISH GRAND PRIX - Circuito de Jerez,MotoGP,RAC,"April,10,2005",Dry,32º,15º,17%,14,2.0,21,John HOPKINS,USA,Team Suzuki MotoGP,Suzuki,152.3,+1'19.346
14,2005,SPA,SPANISH GRAND PRIX - Circuito de Jerez,MotoGP,RAC,"April,10,2005",Dry,32º,15º,17%,15,1.0,44,Roberto ROLFO,ITA,D’Antin MotoGP - Pramac,Ducati,151.6,+1'33.607
