,Year,TRK,Track,Category,Session,Date,Track_Condition,Track_Temp,Air_Temp,Humidity,Position,Points,Rider_Number,Rider_Name,Nationality,Team_Name,Bike,Avg_Speed,Time
0,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,1,25,93,Marc MARQUEZ,SPA,Repsol Honda Team,Honda,166.4,42'40.561
1,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,2,20,46,Valentino ROSSI,ITA,Movistar Yamaha MotoGP,Yamaha,166.3,+0.259
2,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,3,16,26,Dani PEDROSA,SPA,Repsol Honda Team,Honda,166.1,+3.370
3,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,4,13,41,Aleix ESPARGARO,SPA,NGM Forward Racing,Forward Yamaha,165.6,+11.623
4,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,5,11,4,Andrea DOVIZIOSO,ITA,Ducati Team,Ducati,165.6,+12.159
5,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,6,10,35,Cal CRUTCHLOW,GBR,Ducati Team,Ducati,164.5,+28.526
6,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,7,9,45,Scott REDDING,GBR,GO&FUN Honda Gresini,Honda,164.3,+32.593
7,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,8,8,69,Nicky HAYDEN,USA,Drive M7 Aspar,Honda,164.3,+32.628
8,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,9,7,5,Colin EDWARDS,USA,NGM Forward Racing,Forward Yamaha,163.8,+39.547
9,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,10,6,29,Andrea IANNONE,ITA,Pramac Racing,Ducati,163.6,+43.360
10,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,11,5,7,Hiroshi AOYAMA,JPN,Drive M7 Aspar,Honda,163.4,+46.595
11,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,12,4,68,Yonny HERNANDEZ,COL,Energy T.I. Pramac Racing,Ducati,163.4,+46.688
12,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,13,3,17,Karel ABRAHAM,CZE,Cardion AB Motoracing,Honda,163.1,+50.581
13,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,14,2,9,Danilo PETRUCCI,ITA,IodaRacing Project,ART,162.4,+1'03.127
14,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,15,1,23,Broc PARKES,AUS,Paul Bird Motorsport,PBM,161.7,+1'14.386
15,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,16,0,70,Michael LAVERTY,GBR,Paul Bird Motorsport,PBM,160.5,+1'32.593
16,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,17,0,63,Mike DI MEGLIO,FRA,Avintia Racing,Avintia,160.3,+1'36.085
17,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,crash,0,19,Alvaro BAUTISTA,SPA,GO&FUN Honda Gresini,Honda,166.2,2 Laps
18,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,crash,0,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,Yamaha,166.1,4 Laps
19,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,crash,0,44,Pol ESPARGARO,SPA,Monster Yamaha Tech 3,Yamaha,165.0,5 Laps
20,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,crash,0,6,Stefan BRADL,GER,LCR Honda MotoGP,Honda,165.6,14 Laps
21,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,crash,0,8,Hector BARBERA,SPA,Avintia Racing,Avintia,160.7,18 Laps
22,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,23,2014",Dry,18º,20º,60%,crash,0,99,Jorge LORENZO,SPA,Movistar Yamaha MotoGP,Yamaha,,0 Lap
23,2014,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,"March,23,2014",Dry,19º,20º,54%,1,25,53,Esteve RABAT,SPA,Marc VDS Racing Team,Kalex,160.0,40'20.963
