,Year,TRK,Track,Category,Session,Date,Track_Condition,Track_Temp,Air_Temp,Humidity,Position,Points,Rider_Number,Rider_Name,Nationality,Team_Name,Bike,Avg_Speed,Time
0,2008,QAT,GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"March,09,2008",Dry,19º,18º,58%,1,25.0,1,Casey STONER,AUS,Ducati Marlboro Team,Ducati,166.7,42'36.587
1,2008,QAT,GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"March,09,2008",Dry,19º,18º,58%,2,20.0,48,Jorge LORENZO,SPA,Fiat Yamaha Team,Yamaha,166.3,+5.323
2,2008,QAT,GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"March,09,2008",Dry,19º,18º,58%,3,16.0,2,Dani PEDROSA,SPA,Repsol Honda Team,Honda,166.0,+10.600
3,2008,QAT,GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"March,09,2008",Dry,19º,18º,58%,4,13.0,4,Andrea DOVIZIOSO,ITA,JiR Team Scot MotoGP,Honda,165.8,+13.288
4,2008,QAT,GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"March,09,2008",Dry,19º,18º,58%,5,11.0,46,Valentino ROSSI,ITA,Fiat Yamaha Team,Yamaha,165.8,+13.305
5,2008,QAT,GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"March,09,2008",Dry,19º,18º,58%,6,10.0,52,James TOSELAND,GBR,Tech 3 Yamaha,Yamaha,165.8,+14.040
6,2008,QAT,GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"March,09,2008",Dry,19º,18º,58%,7,9.0,5,Colin EDWARDS,USA,Tech 3 Yamaha,Yamaha,165.7,+15.150
7,2008,QAT,GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"March,09,2008",Dry,19º,18º,58%,8,8.0,65,Loris CAPIROSSI,ITA,Rizla Suzuki MotoGP,Suzuki,164.6,+32.505
8,2008,QAT,GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"March,09,2008",Dry,19º,18º,58%,9,7.0,14,Randy DE PUNIET,FRA,LCR Honda MotoGP,Honda,164.5,+33.003
9,2008,QAT,GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"March,09,2008",Dry,19º,18º,58%,10,6.0,69,Nicky HAYDEN,USA,Repsol Honda Team,Honda,164.2,+38.354
10,2008,QAT,GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"March,09,2008",Dry,19º,18º,58%,11,5.0,33,Marco MELANDRI,ITA,Ducati Marlboro Team,Ducati,163.8,+44.284
11,2008,QAT,GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"March,09,2008",Dry,19º,18º,58%,12,4.0,21,John HOPKINS,USA,Kawasaki Racing Team,Kawasaki,163.5,+49.857
12,2008,QAT,GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"March,09,2008",Dry,19º,18º,58%,13,3.0,56,Shinya NAKANO,JPN,San Carlo Honda Gresini,Honda,163.5,+49.871
13,2008,QAT,GRAND PRIX OF QATAR - Losail International Circuit,MotoGP,RAC,"March,09,2008",Dry,19º,18º,58%,14,2.0,24,Toni ELIAS,SPA,Alice Team,Ducati,162.9,+58.532
