,Year,TRK,Track,Category,Session,Date,Track_Condition,Track_Temp,Air_Temp,Humidity,Position,Points,Rider_Number,Rider_Name,Nationality,Team_Name,Bike,Avg_Speed,Time
0,2012,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"April,08,2012",Dry,23º,24º,53%,1,25,99,Jorge LORENZO,SPA,Yamaha Factory Racing,Yamaha,166.2,42'44.214
1,2012,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"April,08,2012",Dry,23º,24º,53%,2,20,26,Dani PEDROSA,SPA,Repsol Honda Team,Honda,166.1,+0.852
2,2012,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"April,08,2012",Dry,23º,24º,53%,3,16,1,Casey STONER,AUS,Repsol Honda Team,Honda,166.0,+2.908
3,2012,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"April,08,2012",Dry,23º,24º,53%,4,13,35,Cal CRUTCHLOW,GBR,Monster Yamaha Tech 3,Yamaha,165.1,+17.114
4,2012,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"April,08,2012",Dry,23º,24º,53%,5,11,4,Andrea DOVIZIOSO,ITA,Monster Yamaha Tech 3,Yamaha,165.0,+17.420
5,2012,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"April,08,2012",Dry,23º,24º,53%,6,10,69,Nicky HAYDEN,USA,Ducati Team,Ducati,164.3,+28.413
6,2012,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"April,08,2012",Dry,23º,24º,53%,7,9,19,Alvaro BAUTISTA,SPA,San Carlo Honda Gresini,Honda,164.3,+28.446
7,2012,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"April,08,2012",Dry,23º,24º,53%,8,8,6,Stefan BRADL,GER,LCR Honda MotoGP,Honda,164.3,+29.464
8,2012,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"April,08,2012",Dry,23º,24º,53%,9,7,8,Hector BARBERA,SPA,Pramac Racing Team,Ducati,164.2,+31.384
9,2012,QAT,Commercialbank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"April,08,2012",Dry,23º,24º,53%,10,6,46,Valentino ROSSI,ITA,Ducati Team,Ducati,164.0,+33.665
