,Year,TRK,Track,Category,Session,Date,Track_Condition,Track_Temp,Air_Temp,Humidity,Position,Points,Rider_Number,Rider_Name,Nationality,Team_Name,Bike,Avg_Speed,Time
0,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,1,25,46,Valentino ROSSI,ITA,Movistar Yamaha MotoGP,Yamaha,166.7,42'35.717
1,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,2,20,4,Andrea DOVIZIOSO,ITA,Ducati Team,Ducati,166.7,+0.174
2,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,3,16,29,Andrea IANNONE,ITA,Ducati Team,Ducati,166.5,+2.250
3,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,4,13,99,Jorge LORENZO,SPA,Movistar Yamaha MotoGP,Yamaha,166.5,+2.707
4,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,5,11,93,Marc MARQUEZ,SPA,Repsol Honda Team,Honda,166.2,+7.036
5,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,6,10,26,Dani PEDROSA,SPA,Repsol Honda Team,Honda,166.0,+10.755
6,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,7,9,35,Cal CRUTCHLOW,GBR,CWM LCR Honda,Honda,165.9,+12.384
7,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,8,8,38,Bradley SMITH,GBR,Monster Yamaha Tech 3,Yamaha,165.8,+12.914
8,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,9,7,44,Pol ESPARGARO,SPA,Monster Yamaha Tech 3,Yamaha,165.8,+13.031
9,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,10,6,68,Yonny HERNANDEZ,COL,Pramac Racing,Ducati,165.5,+17.435
10,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,11,5,41,Aleix ESPARGARO,SPA,Team SUZUKI ECSTAR,Suzuki,165.4,+19.901
11,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,12,4,9,Danilo PETRUCCI,ITA,Pramac Racing,Ducati,165.1,+24.432
12,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,13,3,45,Scott REDDING,GBR,"EG 0,0 Marc VDS",Honda,164.6,+32.032
13,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,14,2,25,Maverick VIÑALES,SPA,Team SUZUKI ECSTAR,Suzuki,164.5,+33.463
14,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,15,1,8,Hector BARBERA,SPA,Avintia Racing,Ducati,164.5,+33.625
15,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,16,0,6,Stefan BRADL,GER,Athinà Forward Racing,Yamaha Forward,164.5,+33.944
16,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,17,0,69,Nicky HAYDEN,USA,Aspar MotoGP Team,Honda,164.2,+38.970
17,2015,QAT,Commercial Bank Grand Prix of Qatar - Losail International Circuit,MotoGP,RAC,"March,29,2015",Dry,28º,22º,83%,18,0,50,Eugene LAVERTY,IRL,Aspar MotoGP Team,Honda,163.7,+46.570
